N155,N158,N159,N161,N166,N167,N188,N203,N225,N229,N232,N234,N257,N260,N267,N289,N315,N326,N351,N360,N368,N370,N381,N383,N388,N390,N402,N404,N429,N430,N512,N514,N515,N516,N517,N520,N522,N523,N524,N525,N543,N554,N574,N575,N584,N585,N591,N594,N620,N621,N622,N623,N624,N625,N645,N647,N650,N651,N654,N661,N662,was_fraud,nivel_de_voltaje_34.5 kV-Y,actividad_economica_Actividades inmobiliarias,"actividad_economica_Actividades profesionales, científicas y técnicas",actividad_economica_Comercio al por mayor y al por menor,actividad_economica_Industrias Manufactureras,actividad_economica_Otras,provincia_CARTAGO,provincia_HEREDIA,provincia_SAN JOSÉ,area_riesgo_ZONA PELIGROSA,tipo_cliente_NATURAL,tarifa_INDUSTRIA Y COMERCIO,tarifa_TARIFA INDUSTRIAL 
0.0,-0.0139708549,-0.0001925288,497.5833333333,1.0,1.0,900.925,0.0,1407.0,78.0,0.0,3.0,0.0,0.0,4.0,0.0,-0.0456197923,1.0,4.0,4.0,0.0,2.0,3.0,6.0,7.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032059173,0.0,0.0,0.0,0.0,-0.0059142199,0.0,-0.0117567235,1.0,1.0,1.0,1.0,1.0,1.0,-0.0024599637,-0.0001407827,9.83288e-05,-0.0002333608,395.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.0,-0.0089715145,-0.0041512704,320.8333333333,1.0,1.0,832.99,0.0,2177.0,74.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0456197923,1.0,4.0,4.0,0.0,0.0,2.0,6.0,11.0,4.0,0.0,2.0,0.0,0.0,98.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0038189368,0.0,0.0,0.0,0.0,-0.0025578233,0.0,-0.0094683652,1.0,1.0,1.0,1.0,1.0,1.0,-0.0022337135,-0.0007275376,-0.0007456232,-0.0008313344,944.0,0.0,81.0,1.0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.0,-0.0104999216,-0.0072199385,221.5833333333,1.0,1.0,241.95,0.0,408.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0456197923,1.0,4.0,4.0,0.0,4.0,5.0,6.0,5.0,4.0,0.0,2.0,0.0,0.0,98.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0031783641,0.0,0.0,8.0,0.0,0.0029835227,0.0,-0.0093968064,1.0,1.0,1.0,1.0,1.0,1.0,0.002686744,-0.0001670464,-1.0165e-05,-9.48901e-05,175.0,0.0,95.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0150317335,-0.0060310201,1522.75,1.0,1.0,2027.77,0.0,5110.0,68.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0456197923,1.0,4.0,0.0,0.0,2.0,2.0,6.0,7.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038027441,0.0,0.0,0.0,0.0,-0.0049226869,30.0,0.0165171818,1.0,1.0,1.0,1.0,1.0,1.0,-0.0027711422,-0.0010922881,-0.0012768556,-0.0011488122,1855.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0
0.0,-0.0065162914,0.0020984747,296.0,-0.0499863717,-0.0271534735,249.255,0.0,791.0,83.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0077599325,0.2553525907,4.0,4.0,0.0,0.0,1.0,6.0,1.0,4.0,0.0,3.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007505065,0.0,0.0,0.0,0.0,-0.0035595574,0.0,-0.0023011526,1.0,1.0,1.0,1.0,1.0,1.0,-0.0027882299,-0.0007693676,-0.0009087174,-0.0008744343,383.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0143829814,0.0012278175,394.3333333333,1.0,1.0,199.88,0.0,1061.0,19.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0456197923,1.0,4.0,4.0,0.0,0.0,1.0,6.0,7.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035430174,0.0,0.0,0.0,0.0,-0.0076727058,0.0,-0.0026985035,1.0,1.0,1.0,1.0,1.0,1.0,-0.0014268718,-0.0004130009,-0.0002666267,-0.0005099557,616.0,0.0,0.0,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0
0.0,-0.0120556483,-0.0039671654,484.3333333333,-1.0,-1.0,752.9,0.0,1250.0,27.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0456197923,1.0,4.0,4.0,0.0,1.0,1.0,6.0,10.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042114532,0.0,0.0,0.0,0.0,-0.0078936808,0.0,-0.0035664235,1.0,1.0,1.0,1.0,1.0,1.0,-0.0022056415,-0.0005061498,-0.0002494484,-0.0005746437,820.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,0
0.0,-0.003651638,0.0024578052,521.9166666667,1.0,1.0,244.97,0.0,1046.0,19.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0456197923,1.0,4.0,0.0,0.0,2.0,3.0,6.0,3.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026089133,0.0,0.0,0.0,0.0,-0.0072471124,0.0,-0.0030866704,1.0,1.0,1.0,1.0,1.0,1.0,-0.0015008919,0.0003892146,0.0006766753,0.0003159044,714.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0
0.0,0.011929974,0.0030016871,534.4166666667,1.0,1.0,238.82,0.0,2090.0,75.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0456197923,1.0,4.0,4.0,0.0,0.0,2.0,6.0,10.0,4.0,0.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039351624,0.0,3.0,0.0,0.0,-0.0077690082,0.0,-0.0109950466,1.0,1.0,1.0,1.0,1.0,1.0,-0.0016554494,-0.0003298462,0.0001387726,-0.0003570072,1297.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.006482557,-0.0031446519,782.9166666667,-1.0,-1.0,291.165,0.0,2085.0,11.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0456197923,1.0,4.0,4.0,0.0,2.0,2.0,6.0,11.0,4.0,0.0,3.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038706059,0.0,0.0,0.0,0.0,-0.0065380554,0.0,-0.0110598954,1.0,1.0,1.0,1.0,1.0,1.0,0.0004512431,0.0008649412,0.0013661334,0.0008424818,1360.0,0.0,69.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0
0.0,-0.0014647698,0.0038818345,231.9166666667,0.9914488724,0.9914488724,228.2675,46.0,768.0,18.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0040804534,0.0246532478,4.0,4.0,0.0,0.0,2.0,6.0,2.0,4.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008664222,0.0,0.0,0.0,0.0,0.0022180506,0.0,0.0054108466,1.0,1.0,1.0,1.0,1.0,1.0,-0.0023474149,0.0001789202,0.0003774953,6.17387e-05,54.0,0.0,34.0,1.0,1,0,0,0,0,1,1,0,0,0,1,0,0
0.0,0.0146842272,0.0078751222,296.1666666667,-0.8792012256,-0.8792012256,214.2866666667,0.0,678.0,20.0,0.0,3.0,0.0,0.0,5.0,0.0,-0.0338836128,0.9999944171,4.0,4.0,0.0,0.0,3.0,6.0,3.0,4.0,0.0,2.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029358129,0.0,0.0,0.0,0.0,-0.0076670569,0.0,-0.0147341778,1.0,1.0,1.0,1.0,1.0,1.0,0.0019162285,0.0004107275,0.0006079552,0.0005206497,443.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0
